	ptsI	hrpA	accD	murE	rpoS	dnaA	recJ	gyrB	spaP	invC	P3	P35	P41	P45	P51
Ac. pisum str. 5AT	EU021860	EU021883	EU021753	EU021780	EU021727	EU021909	EU021807	EU021833	EU021954	EU021932	EU021718	DQ092618	DQ092617	EU021708/EU021709	DQ092614
Ac. pisum str. A1A	EU021861	EU021884	EU021754	EU021781	EU021728	EU021910	EU021808	EU021834	EU021955	EU021933	EU021719	EU021977	EU021983	EU021710	EU021990
Ac. pisum str. A2C	EU021862	EU021885	EU021755	EU021782	EU021729	EU021911	EU021809	EU021835	EU021956	EU021934	-	-	-	-	-
Ac. pisum str. A2F	EU021863	EU021886	EU021756	EU021783	EU021730	EU021912	EU021810	EU021836	EU021957	EU021935	EU021720	EU021978	EU021984	EU021711	EU021991
Ac. pisum str. A2H	EU021864	EU021887	EU021757	EU021784	EU021731	EU021913	EU021811	EU021837	EU021958	EU021936	EU021721	EU021979	EU021985	EU021712	EU021992
Ap. craccivora str. 5ATac	EU021865	EU021888	EU021758	EU021785	EU021732	EU021914	EU021812	EU021838	EU021959	EU021937	EU021722	EU021976	EU021986	EU021713	EU021993
B. tabaci bv. B	EU021866	EU021889	EU021759	EU021786	EU021733	EU021915	EU021815	EU021839	EU021960	EU021938	EU021725/EU021726	EU021980	EU021987	EU021716/EU021717	EU021994
Geopemphigus sp.	EU021867	EU021890	EU021760	EU021787	EU021734	EU021916	EU021813	EU021840	EU021961	EU021939	-	-	-	-	-
M. euphorbiae	EU021868	EU021891	EU021761	EU021788	EU021735	EU021917	EU021814	EU021841	EU021962	EU021940	-	-	-	-	-
U. ambrosiae str. A	EU021869	EU021892	EU021762	EU021789	EU021736	EU021918	EU021816	EU021842	EU021963	EU021941	-	-	-	-	-
U. ambrosiae str. B	EU021870	EU021893	EU021763	EU021790	EU021737	EU021919	EU021817	EU021843	EU021964	EU021942	-	-	-	-	-
U. ambrosiae str. UA001	EU021871	EU021894	EU021764	EU021791	EU021738	EU021920	EU021818	EU021844	EU021965	EU021943	-	-	-	-	-
U. ambrosiae str. UA002	EU021872	EU021895	EU021765	EU021792	EU021739	EU021921	EU021819	EU021845	EU021966	EU021944	-	-	-	-	-
U. sp. near atripes	EU021873	EU021896	EU021766	EU021793	EU021740	EU021922	EU021820	EU021846	EU021967	EU021945	-	-	-	-	-
U. nigrotuberculatum	EU021874	EU021897	EU021767	EU021794	EU021741	EU021923	EU021821	EU021847	EU021968	EU021946	-	-	-	-	-
U. pieloui	EU021875	EU021898	EU021768	EU021795	EU021742	EU021924	EU021822	EU021848	EU021969	EU021947	-	-	-	-	-
U. rudbeckiae	EU021876	EU021899	EU021769	EU021796	EU021743	EU021925	EU021823	EU021849	EU021970	EU021948	EU021723	EU021981	EU021988	EU021714	EU021995
U. sonchi	EU021877	EU021900	EU021770	EU021797	EU021744	EU021926	EU021824	EU021850	EU021971	EU021949	-	-	-	-	-
U. escalantii	EU021878	EU021901	EU021771	EU021798	EU021745	EU021927	EU021825	EU021851	-	EU021950	-	-	-	-	-
U. reynoldense	EU021879	EU021902	EU021772	EU021799	EU021746	EU021928	EU021826	EU021852	EU021972	EU021951	-	-	-	-	-
H. lactuceae	EU021880	EU021903	EU021773	EU021800	EU021747	EU021929	EU021827	EU021853	EU021973	-	-	-	-	-	-
Chaitophorus sp.	EU021881	EU021904	EU021774	EU021801	EU021748	EU021930	EU021828	EU021854	EU021974	EU021952	EU021724	EU021982	EU021989	EU021715	EU021996
Cinara sp.	EU021882	EU021905	EU021775	EU021802	EU021749	EU021931	EU021829	EU021855	EU021975	EU021953	-	-	-	-	-
